53974 20150101 2100 20150101 1500  2.422  -96.61   39.10     0.5     0.3     1.0     0.0     0.0    245 0    467 0    145 0 C     3.5 0     5.3 0     1.6 0    33 0 -99.000   0.311   0.389 -99.000 -99.000     0.0     0.9     2.0     4.8     8.7
53974 20150101 2200 20150101 1600  2.422  -96.61   39.10     0.3     0.3     0.5     0.3     0.0     92 0    250 0     50 0 C     1.7 0     3.2 0     1.0 0    37 0 -99.000   0.317   0.388 -99.000 -99.000     0.0     0.9     2.0     4.8     8.7
53974 20150101 2300 20150101 1700  2.422  -96.61   39.10    -0.1     0.2     0.5    -0.1     0.0     25 0     71 0      0 0 C     0.4 0     1.2 0    -1.3 0    40 0 -99.000   0.315   0.392 -99.000 -99.000     0.0     0.9     2.0     4.8     8.6
53974 20150102 0000 20150101 1800  2.422  -96.61   39.10    -1.3    -0.8    -0.1    -1.3     0.0      0 0      0 0      0 0 C    -2.0 0    -1.2 0    -4.1 0    45 0 -99.000   0.313   0.379 -99.000 -99.000     0.0     0.9     1.9     4.8     8.6
53974 20150102 0100 20150101 1900  2.422  -96.61   39.10    -3.1    -2.9    -1.3    -4.1     0.0      0 0      0 0      0 0 C    -6.7 0    -4.1 0    -7.9 0    52 0 -99.000   0.308   0.376 -99.000 -99.000     0.0     0.9     1.9     4.8     8.6
53974 20150102 0200 20150101 2000  2.422  -96.61   39.10    -5.0    -3.9    -3.0    -5.5     0.0      0 0      0 0      0 0 C    -7.2 0    -6.4 0    -8.0 0    61 0 -99.000   0.309   0.394 -99.000 -99.000     0.1     0.9     1.9     4.8     8.6
53974 20150102 0300 20150101 2100  2.422  -96.61   39.10    -1.5    -2.6    -1.5    -4.9     0.0      0 0      0 0      0 0 C    -3.5 0    -1.5 0    -8.0 0    67 0 -99.000   0.309   0.404 -99.000 -99.000     0.1     0.9     1.9     4.7     8.6
53974 20150102 0400 20150101 2200  2.422  -96.61   39.10    -0.6    -0.9    -0.6    -1.5     0.0      0 0      0 0      0 0 C    -1.1 0    -0.9 0    -1.5 0    66 0 -99.000   0.312   0.395 -99.000 -99.000     0.1     0.9     1.9     4.8     8.6
53974 20150102 0500 20150101 2300  2.422  -96.61   39.10    -1.0    -0.7    -0.6    -1.0     0.0      0 0      0 0      0 0 C    -1.1 0    -0.9 0    -2.0 0    67 0 -99.000   0.320   0.381 -99.000 -99.000     0.1     0.9     1.9     4.7     8.6
53974 20150102 0600 20150102 0000  2.422  -96.61   39.10    -0.7    -0.8    -0.7    -1.1     0.0      0 0      0 0      0 0 C    -1.5 0    -0.8 0    -2.0 0    69 0 -99.000   0.320   0.371 -99.000 -99.000     0.1     0.9     1.9     4.7     8.6
